fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
24749,2,2,Denmark;Copenhagen,1.1.2016,149,0.963,0.55
24813,10,6,Germany;Dresden,1.1.2016,1,0.963,0
24814,3,7,Germany;Frankfurt,2.1.2016,150,0.967,0.55
24815,1,5,Germany;Berlin,2.1.2016,149,0.967,0.55
24816,9,7,Germany;Frankfurt,2.1.2016,146,0.967,0.55
24817,4,5,Germany;Berlin,2.1.2016,142,0.967,0.55
24818,7,3,Czech republic;Ostrava,2.1.2016,138,0.967,0.55
24819,1,7,Germany;Frankfurt,2.1.2016,133,0.967,0.55
24820,10,5,Germany;Berlin,2.1.2016,131,0.967,0.55
24821,11,5,Germany;Berlin,2.1.2016,126,0.967,0.55
24822,9,7,Germany;Frankfurt,2.1.2016,124,0.967,0.55
24823,8,1,Czech republic;Prague,2.1.2016,122,0.967,0.55
24824,1,5,Germany;Berlin,2.1.2016,120,0.967,0.55
24825,11,7,Germany;Frankfurt,2.1.2016,117,0.967,0.55
24826,5,7,Germany;Frankfurt,2.1.2016,115,0.967,0.55
24827,1,6,Germany;Dresden,2.1.2016,114,0.967,0.55
24828,2,1,Czech republic;Prague,2.1.2016,111,0.967,0.55
24829,6,3,Czech republic;Brno,2.1.2016,110,0.967,0.55
24830,1,5,Germany;Berlin,2.1.2016,106,0.967,0.55
24831,1,4,Germany;Frankfurt,2.1.2016,103,0.967,0.55
24832,3,7,Germany;Frankfurt,2.1.2016,102,0.967,0.55
24833,6,5,Germany;Berlin,2.1.2016,99,0.967,0.4
24834,6,2,Denmark;Copenhagen,2.1.2016,98,0.967,0.4
24835,5,6,Germany;Dresden,2.1.2016,97,0.967,0.4
24836,8,7,Germany;Frankfurt,2.1.2016,94,0.967,0.4
24837,2,5,Germany;Berlin,2.1.2016,92,0.967,0.4
24838,7,2,Denmark;Copenhagen,2.1.2016,91,0.967,0.4
24839,5,5,Germany;Berlin,2.1.2016,82,0.967,0.4
24840,8,5,Germany;Berlin,2.1.2016,81,0.967,0.4
24841,4,4,Germany;Frankfurt,2.1.2016,77,0.967,0.4
24842,3,7,Germany;Frankfurt,2.1.2016,72,0.967,0.15
24843,1,1,Czech republic;Prague,2.1.2016,71,0.967,0.15
24844,1,5,Germany;Berlin,2.1.2016,69,0.967,0.15
24845,8,5,Germany;Berlin,2.1.2016,68,0.967,0.15
24846,1,7,Germany;Frankfurt,2.1.2016,63,0.967,0.15
24847,1,1,Czech republic;Prague,2.1.2016,60,0.967,0.15
24848,6,2,Denmark;Copenhagen,2.1.2016,54,0.967,0.15
24849,6,2,Denmark;Copenhagen,2.1.2016,51,0.967,0.15
24850,3,5,Germany;Berlin,2.1.2016,47,0.967,0.15
24851,8,7,Germany;Frankfurt,2.1.2016,47,0.967,0.15
24852,5,6,Germany;Dresden,2.1.2016,45,0.967,0.15
24853,2,1,Czech republic;Prague,2.1.2016,37,0.967,0.15
24854,5,7,Germany;Frankfurt,2.1.2016,35,0.967,0.15
24855,1,5,Germany;Berlin,2.1.2016,29,0.967,0.15
24856,4,4,Germany;Frankfurt,2.1.2016,28,0.967,0.15
24857,10,2,Denmark;Copenhagen,2.1.2016,26,0.967,0.15
24858,7,5,Germany;Berlin,2.1.2016,22,0.967,0.01
24859,11,5,Germany;Berlin,2.1.2016,22,0.967,0.01
24860,1,4,Germany;Frankfurt,2.1.2016,21,0.967,0.01
24861,10,7,Germany;Frankfurt,2.1.2016,13,0.967,0.01
24862,3,1,Czech republic;Prague,2.1.2016,11,0.967,0.01
24863,6,5,Germany;Berlin,5.1.2016,148,0.97,0.55
24864,6,7,Germany;Frankfurt,5.1.2016,146,0.97,0.55
24865,9,1,Czech republic;Prague,5.1.2016,144,0.97,0.55
24866,5,2,Denmark;Copenhagen,5.1.2016,144,0.97,0.55
24867,7,5,Germany;Berlin,5.1.2016,143,0.97,0.55
24868,7,6,Germany;Dresden,5.1.2016,131,0.97,0.55
24869,4,5,Germany;Berlin,5.1.2016,123,0.97,0.55
24870,7,4,Germany;Frankfurt,5.1.2016,120,0.97,0.55
24871,10,4,Germany;Frankfurt,5.1.2016,120,0.97,0.55
24872,3,5,Germany;Berlin,5.1.2016,106,0.97,0.55
24873,1,7,Germany;Frankfurt,5.1.2016,106,0.97,0.55
24874,5,2,Denmark;Copenhagen,5.1.2016,104,0.97,0.55
24875,8,5,Germany;Berlin,5.1.2016,102,0.97,0.55
24876,10,7,Germany;Frankfurt,5.1.2016,96,0.97,0.4
24877,10,5,Germany;Berlin,5.1.2016,94,0.97,0.4
24878,2,4,Germany;Frankfurt,5.1.2016,87,0.97,0.4
24879,3,1,Czech republic;Prague,5.1.2016,82,0.97,0.4
24880,1,1,Czech republic;Prague,5.1.2016,81,0.97,0.4
24881,4,5,Germany;Berlin,5.1.2016,80,0.97,0.4
24882,2,7,Germany;Frankfurt,5.1.2016,77,0.97,0.4
24883,7,5,Germany;Berlin,5.1.2016,76,0.97,0.4
24884,4,7,Germany;Frankfurt,5.1.2016,75,0.97,0.15
24885,5,1,Czech republic;Prague,5.1.2016,75,0.97,0.15
24886,2,6,Germany;Dresden,5.1.2016,72,0.97,0.15
24887,9,4,Germany;Frankfurt,5.1.2016,67,0.97,0.15
24888,10,3,Czech republic;Ostrava,5.1.2016,65,0.97,0.15
24889,7,7,Germany;Frankfurt,5.1.2016,62,0.97,0.15
24890,2,7,Germany;Frankfurt,5.1.2016,58,0.97,0.15
24891,2,1,Czech republic;Prague,5.1.2016,56,0.97,0.15
24892,1,3,Czech republic;Brno,5.1.2016,52,0.97,0.15
24893,11,1,Czech republic;Prague,5.1.2016,49,0.97,0.15
24894,9,5,Germany;Berlin,5.1.2016,36,0.97,0.15
24895,10,5,Germany;Berlin,5.1.2016,34,0.97,0.15
24896,9,7,Germany;Frankfurt,5.1.2016,30,0.97,0.15
24897,2,2,Denmark;Copenhagen,5.1.2016,28,0.97,0.15
24898,4,5,Germany;Berlin,5.1.2016,25,0.97,0.01
24899,5,7,Germany;Frankfurt,5.1.2016,25,0.97,0.01
24900,9,6,Germany;Dresden,5.1.2016,24,0.97,0.01
24901,2,5,Germany;Berlin,5.1.2016,18,0.97,0.01
24902,9,5,Germany;Berlin,5.1.2016,10,0.97,0
24903,3,5,Germany;Berlin,5.1.2016,8,0.97,0
24904,9,2,Denmark;Copenhagen,5.1.2016,4,0.97,0
24905,7,7,Germany;Frankfurt,5.1.2016,2,0.97,0
24906,11,5,Germany;Berlin,6.1.2016,150,0.973,0.55
24907,7,5,Germany;Berlin,6.1.2016,143,0.973,0.55
24908,6,4,Germany;Frankfurt,6.1.2016,138,0.973,0.55
24909,2,6,Germany;Dresden,6.1.2016,137,0.973,0.55
24910,7,7,Germany;Frankfurt,6.1.2016,129,0.973,0.55
24911,1,2,Denmark;Copenhagen,6.1.2016,127,0.973,0.55
24912,11,7,Germany;Frankfurt,6.1.2016,123,0.973,0.55
24913,6,5,Germany;Berlin,6.1.2016,120,0.973,0.55
24914,8,5,Germany;Berlin,6.1.2016,110,0.973,0.55
24915,1,5,Germany;Berlin,6.1.2016,107,0.973,0.55
24916,10,5,Germany;Berlin,6.1.2016,107,0.973,0.55
24917,2,2,Denmark;Copenhagen,6.1.2016,107,0.973,0.55
24918,4,5,Germany;Berlin,6.1.2016,105,0.973,0.55
24919,6,5,Germany;Berlin,6.1.2016,103,0.973,0.55
24920,1,7,Germany;Frankfurt,6.1.2016,102,0.973,0.55
24921,7,7,Germany;Frankfurt,6.1.2016,101,0.973,0.55
24922,6,7,Germany;Frankfurt,6.1.2016,99,0.973,0.4
24923,9,5,Germany;Berlin,6.1.2016,97,0.973,0.4
24924,6,7,Germany;Frankfurt,6.1.2016,94,0.973,0.4
24925,7,1,Czech republic;Prague,6.1.2016,92,0.973,0.4
24926,1,7,Germany;Frankfurt,6.1.2016,87,0.973,0.4
24927,7,3,Czech republic;Ostrava,6.1.2016,86,0.973,0.4
24928,6,6,Germany;Dresden,6.1.2016,85,0.973,0.4
24929,8,5,Germany;Berlin,6.1.2016,81,0.973,0.4
24930,8,5,Germany;Berlin,6.1.2016,78,0.973,0.4
24931,9,4,Germany;Frankfurt,6.1.2016,76,0.973,0.4
24932,5,2,Denmark;Copenhagen,6.1.2016,73,0.973,0.15
24933,9,5,Germany;Berlin,6.1.2016,70,0.973,0.15
24934,10,6,Germany;Dresden,6.1.2016,68,0.973,0.15
24935,6,5,Germany;Berlin,6.1.2016,64,0.973,0.15
24936,9,5,Germany;Berlin,6.1.2016,63,0.973,0.15
24937,9,7,Germany;Frankfurt,6.1.2016,60,0.973,0.15
24938,6,5,Germany;Berlin,6.1.2016,58,0.973,0.15
24939,6,7,Germany;Frankfurt,6.1.2016,56,0.973,0.15
24940,2,5,Germany;Berlin,6.1.2016,55,0.973,0.15
24941,10,4,Germany;Frankfurt,6.1.2016,55,0.973,0.15
24942,9,2,Denmark;Copenhagen,6.1.2016,49,0.973,0.15
24943,11,3,Czech republic;Ostrava,6.1.2016,45,0.973,0.15
24944,9,5,Germany;Berlin,6.1.2016,44,0.973,0.15
24945,6,7,Germany;Frankfurt,6.1.2016,41,0.973,0.15
24946,9,5,Germany;Berlin,6.1.2016,36,0.973,0.15
24947,3,5,Germany;Berlin,6.1.2016,36,0.973,0.15
24948,11,7,Germany;Frankfurt,6.1.2016,34,0.973,0.15
24949,5,3,Czech republic;Brno,6.1.2016,29,0.973,0.15
24950,1,6,Germany;Dresden,6.1.2016,26,0.973,0.15
24951,6,2,Denmark;Copenhagen,6.1.2016,20,0.973,0.01
24952,10,5,Germany;Berlin,6.1.2016,12,0.973,0.01
24953,10,6,Germany;Dresden,6.1.2016,9,0.973,0
24954,4,3,Czech republic;Brno,6.1.2016,6,0.973,0
24955,3,6,Germany;Dresden,6.1.2016,4,0.973,0
24956,3,5,Germany;Berlin,6.1.2016,3,0.973,0
24957,9,5,Germany;Berlin,6.1.2016,2,0.973,0
24958,2,2,Denmark;Copenhagen,7.1.2016,148,0.973,0.55
24959,8,1,Czech republic;Prague,7.1.2016,144,0.973,0.55
24960,6,5,Germany;Berlin,7.1.2016,143,0.973,0.55
24961,9,4,Germany;Frankfurt,7.1.2016,141,0.973,0.55
24962,8,4,Germany;Frankfurt,7.1.2016,140,0.973,0.55
24963,2,1,Czech republic;Prague,7.1.2016,132,0.973,0.55
24964,9,7,Germany;Frankfurt,7.1.2016,129,0.973,0.55
24965,10,6,Germany;Dresden,7.1.2016,116,0.973,0.55
24966,6,5,Germany;Berlin,7.1.2016,116,0.973,0.55
24967,1,1,Czech republic;Prague,7.1.2016,109,0.973,0.55
24968,3,1,Czech republic;Prague,7.1.2016,99,0.973,0.4
24969,7,5,Germany;Berlin,7.1.2016,93,0.973,0.4
24970,3,6,Germany;Dresden,7.1.2016,89,0.973,0.4
24971,6,5,Germany;Berlin,7.1.2016,87,0.973,0.4
24972,10,7,Germany;Frankfurt,7.1.2016,83,0.973,0.4
24973,3,7,Germany;Frankfurt,7.1.2016,81,0.973,0.4
24974,4,5,Germany;Berlin,7.1.2016,80,0.973,0.4
24975,7,4,Germany;Frankfurt,7.1.2016,77,0.973,0.4
24976,1,5,Germany;Berlin,7.1.2016,76,0.973,0.4
24977,7,7,Germany;Frankfurt,7.1.2016,71,0.973,0.15
24978,10,1,Czech republic;Prague,7.1.2016,69,0.973,0.15
24979,1,7,Germany;Frankfurt,7.1.2016,68,0.973,0.15
24980,4,4,Germany;Frankfurt,7.1.2016,68,0.973,0.15
24981,11,7,Germany;Frankfurt,7.1.2016,62,0.973,0.15
24982,8,5,Germany;Berlin,7.1.2016,62,0.973,0.15
24983,10,6,Germany;Dresden,7.1.2016,56,0.973,0.15
24984,4,5,Germany;Berlin,7.1.2016,54,0.973,0.15
24985,5,7,Germany;Frankfurt,7.1.2016,45,0.973,0.15
24986,6,5,Germany;Berlin,7.1.2016,44,0.973,0.15
24987,10,5,Germany;Berlin,7.1.2016,41,0.973,0.15
24988,3,5,Germany;Berlin,7.1.2016,39,0.973,0.15
24989,5,5,Germany;Berlin,7.1.2016,36,0.973,0.15
24990,7,5,Germany;Berlin,7.1.2016,33,0.973,0.15
24991,11,7,Germany;Frankfurt,7.1.2016,31,0.973,0.15
24992,9,5,Germany;Berlin,7.1.2016,28,0.973,0.15
24993,7,5,Germany;Berlin,7.1.2016,22,0.973,0.01
24994,8,5,Germany;Berlin,7.1.2016,22,0.973,0.01
24995,10,5,Germany;Berlin,7.1.2016,20,0.973,0.01
24996,3,6,Germany;Dresden,7.1.2016,13,0.973,0.01
24997,5,7,Germany;Frankfurt,7.1.2016,11,0.973,0.01
24998,2,7,Germany;Frankfurt,7.1.2016,6,0.973,0
24999,5,3,Czech republic;Brno,8.1.2016,150,0.978,0.55
25000,3,7,Germany;Frankfurt,8.1.2016,147,0.978,0.55
25001,11,6,Germany;Dresden,8.1.2016,136,0.978,0.55
25002,8,5,Germany;Berlin,8.1.2016,131,0.978,0.55
25003,11,5,Germany;Berlin,8.1.2016,130,0.978,0.55
25004,6,1,Czech republic;Prague,8.1.2016,124,0.978,0.55
25005,11,6,Germany;Dresden,8.1.2016,119,0.978,0.55
25006,10,3,Czech republic;Ostrava,8.1.2016,116,0.978,0.55
25007,7,2,Denmark;Copenhagen,8.1.2016,116,0.978,0.55
25008,5,4,Germany;Frankfurt,8.1.2016,115,0.978,0.55
25009,6,7,Germany;Frankfurt,8.1.2016,113,0.978,0.55
25010,3,3,Czech republic;Brno,8.1.2016,100,0.978,0.55
25011,9,7,Germany;Frankfurt,8.1.2016,98,0.978,0.4
25012,8,5,Germany;Berlin,8.1.2016,88,0.978,0.4
25013,2,4,Germany;Frankfurt,8.1.2016,83,0.978,0.4
25014,11,7,Germany;Frankfurt,8.1.2016,76,0.978,0.4
25015,11,1,Czech republic;Prague,8.1.2016,75,0.978,0.15
25016,6,5,Germany;Berlin,8.1.2016,72,0.978,0.15
25017,6,5,Germany;Berlin,8.1.2016,71,0.978,0.15
25018,10,7,Germany;Frankfurt,8.1.2016,70,0.978,0.15
25019,11,7,Germany;Frankfurt,8.1.2016,69,0.978,0.15
25020,1,3,Czech republic;Brno,8.1.2016,68,0.978,0.15
25021,11,6,Germany;Dresden,8.1.2016,61,0.978,0.15
25022,4,7,Germany;Frankfurt,8.1.2016,51,0.978,0.15
25023,1,4,Germany;Frankfurt,8.1.2016,50,0.978,0.15
25024,8,7,Germany;Frankfurt,8.1.2016,49,0.978,0.15
25025,7,5,Germany;Berlin,8.1.2016,48,0.978,0.15
25026,11,3,Czech republic;Ostrava,8.1.2016,43,0.978,0.15
25027,11,6,Germany;Dresden,8.1.2016,42,0.978,0.15
25028,8,5,Germany;Berlin,8.1.2016,42,0.978,0.15
25029,2,5,Germany;Berlin,8.1.2016,40,0.978,0.15
25030,7,5,Germany;Berlin,8.1.2016,36,0.978,0.15
25031,6,5,Germany;Berlin,8.1.2016,36,0.978,0.15
25032,4,7,Germany;Frankfurt,8.1.2016,27,0.978,0.15
25033,9,4,Germany;Frankfurt,8.1.2016,26,0.978,0.15
25034,4,7,Germany;Frankfurt,8.1.2016,22,0.978,0.01
25035,3,7,Germany;Frankfurt,8.1.2016,18,0.978,0.01
25036,3,5,Germany;Berlin,8.1.2016,12,0.978,0.01
25037,5,2,Denmark;Copenhagen,8.1.2016,12,0.978,0.01
25038,2,7,Germany;Frankfurt,8.1.2016,8,0.978,0
25039,6,5,Germany;Berlin,8.1.2016,4,0.978,0
25040,5,2,Denmark;Copenhagen,8.1.2016,3,0.978,0
25041,2,5,Germany;Berlin,8.1.2016,3,0.978,0
25042,7,6,Germany;Dresden,9.1.2016,147,0.962,0.55
25043,3,7,Germany;Frankfurt,9.1.2016,146,0.962,0.55
25044,8,1,Czech republic;Prague,9.1.2016,142,0.962,0.55
25045,10,7,Germany;Frankfurt,9.1.2016,142,0.962,0.55
25046,11,5,Germany;Berlin,9.1.2016,140,0.962,0.55
25047,6,5,Germany;Berlin,9.1.2016,134,0.962,0.55
25048,7,7,Germany;Frankfurt,9.1.2016,132,0.962,0.55
25049,5,5,Germany;Berlin,9.1.2016,125,0.962,0.55
25050,8,5,Germany;Berlin,9.1.2016,114,0.962,0.55
25051,4,5,Germany;Berlin,9.1.2016,114,0.962,0.55
25052,5,7,Germany;Frankfurt,9.1.2016,113,0.962,0.55
25053,3,5,Germany;Berlin,9.1.2016,113,0.962,0.55
25054,1,5,Germany;Berlin,9.1.2016,113,0.962,0.55
25055,3,3,Czech republic;Brno,9.1.2016,112,0.962,0.55
25056,5,2,Denmark;Copenhagen,9.1.2016,107,0.962,0.55
25057,11,5,Germany;Berlin,9.1.2016,104,0.962,0.55
25058,10,5,Germany;Berlin,9.1.2016,102,0.962,0.55
25059,2,4,Germany;Frankfurt,9.1.2016,102,0.962,0.55
25060,3,2,Denmark;Copenhagen,9.1.2016,100,0.962,0.55
25061,9,7,Germany;Frankfurt,9.1.2016,82,0.962,0.4
25062,6,4,Germany;Frankfurt,9.1.2016,80,0.962,0.4
25063,9,3,Czech republic;Ostrava,9.1.2016,78,0.962,0.4
25064,10,5,Germany;Berlin,9.1.2016,75,0.962,0.15
25065,9,5,Germany;Berlin,9.1.2016,70,0.962,0.15
25066,3,7,Germany;Frankfurt,9.1.2016,68,0.962,0.15
25067,3,2,Denmark;Copenhagen,9.1.2016,64,0.962,0.15
25068,3,7,Germany;Frankfurt,9.1.2016,56,0.962,0.15
25069,11,5,Germany;Berlin,9.1.2016,55,0.962,0.15
25070,9,5,Germany;Berlin,9.1.2016,47,0.962,0.15
25071,2,5,Germany;Berlin,9.1.2016,47,0.962,0.15
25072,1,1,Czech republic;Prague,9.1.2016,46,0.962,0.15
25073,1,4,Germany;Frankfurt,9.1.2016,41,0.962,0.15
25074,11,5,Germany;Berlin,9.1.2016,41,0.962,0.15
25075,11,7,Germany;Frankfurt,9.1.2016,40,0.962,0.15
25076,2,5,Germany;Berlin,9.1.2016,39,0.962,0.15
25077,11,5,Germany;Berlin,9.1.2016,38,0.962,0.15
25078,10,6,Germany;Dresden,9.1.2016,33,0.962,0.15
25079,2,4,Germany;Frankfurt,9.1.2016,24,0.962,0.01
25080,4,3,Czech republic;Brno,9.1.2016,23,0.962,0.01
25081,8,7,Germany;Frankfurt,9.1.2016,20,0.962,0.01
25082,11,3,Czech republic;Ostrava,9.1.2016,19,0.962,0.01
25083,1,7,Germany;Frankfurt,9.1.2016,14,0.962,0.01
25084,8,5,Germany;Berlin,9.1.2016,12,0.962,0.01
25085,5,5,Germany;Berlin,9.1.2016,11,0.962,0.01
25086,1,1,Czech republic;Prague,9.1.2016,9,0.962,0
25087,9,3,Czech republic;Ostrava,9.1.2016,6,0.962,0
25088,9,1,Czech republic;Prague,9.1.2016,5,0.962,0
25089,11,5,Germany;Berlin,9.1.2016,4,0.962,0
25090,10,5,Germany;Berlin,9.1.2016,3,0.962,0
25091,10,5,Germany;Berlin,12.1.2016,149,0.972,0.55
25092,4,1,Czech republic;Prague,12.1.2016,147,0.972,0.55
25093,7,5,Germany;Berlin,12.1.2016,141,0.972,0.55
25094,11,3,Czech republic;Ostrava,12.1.2016,141,0.972,0.55
25095,2,7,Germany;Frankfurt,12.1.2016,139,0.972,0.55
25096,6,7,Germany;Frankfurt,12.1.2016,139,0.972,0.55
25097,6,6,Germany;Dresden,12.1.2016,138,0.972,0.55
25098,7,2,Denmark;Copenhagen,12.1.2016,138,0.972,0.55
25099,8,1,Czech republic;Prague,12.1.2016,136,0.972,0.55
25100,4,3,Czech republic;Brno,12.1.2016,132,0.972,0.55
25101,8,5,Germany;Berlin,12.1.2016,131,0.972,0.55
25102,9,7,Germany;Frankfurt,12.1.2016,130,0.972,0.55
25103,10,5,Germany;Berlin,12.1.2016,126,0.972,0.55
25104,7,5,Germany;Berlin,12.1.2016,111,0.972,0.55
25105,3,5,Germany;Berlin,12.1.2016,109,0.972,0.55
25106,9,7,Germany;Frankfurt,12.1.2016,109,0.972,0.55
25107,4,5,Germany;Berlin,12.1.2016,109,0.972,0.55
25108,2,4,Germany;Frankfurt,12.1.2016,108,0.972,0.55
25109,7,3,Czech republic;Ostrava,12.1.2016,107,0.972,0.55
25110,1,1,Czech republic;Prague,12.1.2016,107,0.972,0.55
25111,4,2,Denmark;Copenhagen,12.1.2016,98,0.972,0.4
25112,6,7,Germany;Frankfurt,12.1.2016,96,0.972,0.4
25113,2,7,Germany;Frankfurt,12.1.2016,95,0.972,0.4
25114,1,7,Germany;Frankfurt,12.1.2016,90,0.972,0.4
25115,11,4,Germany;Frankfurt,12.1.2016,86,0.972,0.4
25116,11,7,Germany;Frankfurt,12.1.2016,63,0.972,0.15
25117,6,5,Germany;Berlin,12.1.2016,61,0.972,0.15
25118,9,7,Germany;Frankfurt,12.1.2016,60,0.972,0.15
25119,4,5,Germany;Berlin,12.1.2016,44,0.972,0.15
25120,10,5,Germany;Berlin,12.1.2016,38,0.972,0.15
25121,11,7,Germany;Frankfurt,12.1.2016,33,0.972,0.15
25122,1,5,Germany;Berlin,12.1.2016,31,0.972,0.15
25123,3,7,Germany;Frankfurt,12.1.2016,29,0.972,0.15
25124,11,7,Germany;Frankfurt,12.1.2016,28,0.972,0.15
25125,9,5,Germany;Berlin,12.1.2016,24,0.972,0.01
25126,5,7,Germany;Frankfurt,12.1.2016,23,0.972,0.01
25127,3,2,Denmark;Copenhagen,12.1.2016,22,0.972,0.01
25128,7,6,Germany;Dresden,12.1.2016,22,0.972,0.01
25129,1,3,Czech republic;Brno,12.1.2016,19,0.972,0.01
25130,9,7,Germany;Frankfurt,12.1.2016,15,0.972,0.01
25131,2,4,Germany;Frankfurt,12.1.2016,15,0.972,0.01
25132,6,7,Germany;Frankfurt,12.1.2016,14,0.972,0.01
25133,11,5,Germany;Berlin,12.1.2016,6,0.972,0
25134,9,5,Germany;Berlin,13.1.2016,150,0.972,0.55
25135,1,5,Germany;Berlin,13.1.2016,145,0.972,0.55
25136,5,4,Germany;Frankfurt,13.1.2016,144,0.972,0.55
25137,5,3,Czech republic;Brno,13.1.2016,143,0.972,0.55
25138,6,3,Czech republic;Brno,13.1.2016,143,0.972,0.55
25139,10,7,Germany;Frankfurt,13.1.2016,139,0.972,0.55
25140,1,1,Czech republic;Prague,13.1.2016,138,0.972,0.55
25141,2,3,Czech republic;Brno,13.1.2016,136,0.972,0.55
25142,9,4,Germany;Frankfurt,13.1.2016,133,0.972,0.55
25143,1,5,Germany;Berlin,13.1.2016,129,0.972,0.55
25144,6,5,Germany;Berlin,13.1.2016,129,0.972,0.55
25145,7,7,Germany;Frankfurt,13.1.2016,127,0.972,0.55
25146,9,5,Germany;Berlin,13.1.2016,126,0.972,0.55
25147,6,5,Germany;Berlin,13.1.2016,123,0.972,0.55
25148,5,5,Germany;Berlin,13.1.2016,121,0.972,0.55
25149,4,5,Germany;Berlin,13.1.2016,121,0.972,0.55
25150,11,3,Czech republic;Ostrava,13.1.2016,119,0.972,0.55
25151,9,5,Germany;Berlin,13.1.2016,115,0.972,0.55
25152,11,6,Germany;Dresden,13.1.2016,110,0.972,0.55
25153,5,5,Germany;Berlin,13.1.2016,109,0.972,0.55
25154,11,2,Denmark;Copenhagen,13.1.2016,108,0.972,0.55
25155,1,4,Germany;Frankfurt,13.1.2016,105,0.972,0.55
