fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
36943,10,7,Germany;Frankfurt,1.10.2017,60,0.99,0.35
36983,6,4,Germany;Frankfurt,5.8.2017,130,0.983,0.5
36984,4,2,Denmark;Copenhagen,24.8.2017,83,0.987,0.4
36985,2,6,Germany;Dresden,14.10.2017,98,0.991,0.4
36986,8,6,Germany;Dresden,26.11.2017,28,0.996,0.25
36987,9,6,Germany;Dresden,26.3.2017,46,0.973,0.25
36988,6,6,Germany;Dresden,12.12.2017,68,0.998,0.35
36989,1,1,Czech republic;Prague,21.11.2017,8,0.995,0
36990,11,5,Germany;Berlin,22.3.2017,37,0.971,0.25
36991,6,3,Czech republic;Brno,15.11.2017,28,0.995,0.25
36992,2,2,Denmark;Copenhagen,14.1.2017,77,0.955,0.4
36993,4,3,Czech republic;Brno,5.8.2017,9,0.983,0
36994,7,2,Denmark;Copenhagen,1.5.2017,86,0.971,0.4
36995,1,7,Germany;Frankfurt,26.11.2017,7,0.996,0
36996,1,6,Germany;Dresden,11.12.2017,66,0.997,0.35
36997,2,1,Czech republic;Prague,13.9.2017,37,0.99,0.25
36998,2,3,Czech republic;Brno,30.11.2017,85,0.996,0.4
36999,2,2,Denmark;Copenhagen,26.6.2017,27,0.981,0.25
37000,9,7,Germany;Frankfurt,11.4.2017,39,0.968,0.25
37001,8,3,Czech republic;Ostrava,15.4.2017,83,0.974,0.4
37002,3,5,Germany;Berlin,12.1.2017,81,0.962,0.4
37003,4,1,Czech republic;Prague,23.4.2017,79,0.973,0.4
37004,7,6,Germany;Dresden,31.1.2017,40,0.959,0.25
37005,6,6,Germany;Dresden,20.5.2017,39,0.976,0.25
37006,10,5,Germany;Berlin,8.10.2017,41,0.991,0.25
37007,2,4,Germany;Frankfurt,20.12.2017,36,0.998,0.25
37008,2,6,Germany;Dresden,9.5.2017,36,0.973,0.25
37009,9,1,Czech republic;Prague,25.8.2017,144,0.985,0.5
37010,5,3,Czech republic;Brno,16.2.2017,62,0.97,0.35
37011,8,6,Germany;Dresden,5.6.2017,170,0.978,0.55
37012,10,2,Denmark;Copenhagen,23.3.2017,106,0.964,0.5
37013,7,7,Germany;Frankfurt,11.12.2017,26,0.997,0.25
37014,6,4,Germany;Frankfurt,21.10.2017,19,0.991,0.05
37015,5,2,Denmark;Copenhagen,14.4.2017,98,0.972,0.4
37016,8,2,Denmark;Copenhagen,21.12.2017,29,0.998,0.25
37017,9,5,Germany;Berlin,30.4.2017,89,0.974,0.4
37018,11,2,Denmark;Copenhagen,19.3.2017,46,0.97,0.25
37019,11,4,Germany;Frankfurt,6.9.2017,80,0.988,0.4
37020,3,2,Denmark;Copenhagen,4.10.2017,56,0.99,0.35
37021,1,2,Denmark;Copenhagen,8.2.2017,49,0.96,0.25
37022,5,3,Czech republic;Brno,13.12.2017,28,0.998,0.25
37023,8,2,Denmark;Copenhagen,9.1.2017,29,0.956,0.25
37024,8,1,Czech republic;Prague,16.12.2017,27,0.998,0.25
37025,3,1,Czech republic;Prague,19.8.2017,25,0.985,0.25
37026,10,7,Germany;Frankfurt,26.10.2017,53,0.993,0.35
37027,4,1,Czech republic;Prague,29.11.2017,82,0.996,0.4
37028,3,4,Germany;Frankfurt,6.8.2017,60,0.982,0.35
37029,5,3,Czech republic;Brno,11.1.2017,68,0.967,0.35
37030,7,3,Czech republic;Ostrava,14.1.2017,89,0.955,0.4
37031,10,5,Germany;Berlin,14.3.2017,137,0.964,0.5
37032,5,3,Czech republic;Brno,30.3.2017,35,0.97,0.25
37033,10,7,Germany;Frankfurt,8.10.2017,50,0.991,0.35
37034,3,1,Czech republic;Prague,22.7.2017,67,0.984,0.35
37035,1,2,Denmark;Copenhagen,20.4.2017,98,0.976,0.4
37036,4,1,Czech republic;Prague,8.6.2017,43,0.978,0.25
37037,8,3,Czech republic;Ostrava,26.7.2017,48,0.98,0.25
37038,5,6,Germany;Dresden,5.12.2017,8,0.997,0
37039,4,4,Germany;Frankfurt,1.5.2017,34,0.971,0.25
37040,11,6,Germany;Dresden,18.2.2017,171,0.969,0.55
37041,3,6,Germany;Dresden,27.7.2017,99,0.982,0.4
37042,11,1,Czech republic;Prague,12.1.2017,92,0.962,0.4
37043,9,4,Germany;Frankfurt,25.9.2017,89,0.989,0.4
37044,7,1,Czech republic;Prague,24.7.2017,110,0.981,0.5
37045,1,4,Germany;Frankfurt,24.6.2017,32,0.979,0.25
37046,6,1,Czech republic;Prague,1.4.2017,80,0.971,0.4
37047,11,2,Denmark;Copenhagen,8.7.2017,42,0.982,0.25
37048,9,5,Germany;Berlin,7.11.2017,44,0.993,0.25
37049,10,1,Czech republic;Prague,16.2.2017,34,0.97,0.25
37050,3,7,Germany;Frankfurt,1.11.2017,26,0.992,0.25
37051,11,1,Czech republic;Prague,20.12.2017,90,0.998,0.4
37052,9,1,Czech republic;Prague,13.1.2017,31,0.955,0.25
37053,1,1,Czech republic;Prague,23.6.2017,40,0.978,0.25
37054,5,4,Germany;Frankfurt,26.10.2017,14,0.993,0.05
37055,11,4,Germany;Frankfurt,28.5.2017,65,0.972,0.35
37056,3,5,Germany;Berlin,10.8.2017,134,0.986,0.5
37057,11,3,Czech republic;Ostrava,19.6.2017,52,0.981,0.35
37058,11,7,Germany;Frankfurt,19.11.2017,149,0.995,0.5
37059,8,7,Germany;Frankfurt,20.2.2017,190,0.971,0.6
37060,9,6,Germany;Dresden,17.2.2017,33,0.965,0.25
37061,11,1,Czech republic;Prague,6.8.2017,34,0.982,0.25
37062,2,2,Denmark;Copenhagen,3.1.2017,35,0.966,0.25
37063,5,1,Czech republic;Prague,9.4.2017,49,0.974,0.25
37064,2,5,Germany;Berlin,25.4.2017,108,0.975,0.5
37065,10,1,Czech republic;Prague,1.8.2017,45,0.984,0.25
37066,11,3,Czech republic;Ostrava,12.10.2017,79,0.991,0.4
37067,4,3,Czech republic;Brno,9.4.2017,90,0.974,0.4
37068,1,3,Czech republic;Brno,27.1.2017,41,0.966,0.25
37069,4,3,Czech republic;Brno,28.12.2017,36,0.999,0.25
37070,5,5,Germany;Berlin,9.10.2017,82,0.992,0.4
37071,3,3,Czech republic;Brno,18.6.2017,177,0.98,0.6
37072,5,7,Germany;Frankfurt,27.11.2017,33,0.996,0.25
37073,1,4,Germany;Frankfurt,5.5.2017,79,0.974,0.4
37074,11,1,Czech republic;Prague,2.4.2017,33,0.974,0.25
37075,3,2,Denmark;Copenhagen,14.6.2017,159,0.98,0.55
37076,2,2,Denmark;Copenhagen,29.3.2017,41,0.97,0.25
37077,6,5,Germany;Berlin,10.11.2017,71,0.994,0.35
37078,5,2,Denmark;Copenhagen,11.4.2017,60,0.968,0.35
37079,10,7,Germany;Frankfurt,3.12.2017,27,0.997,0.25
37080,8,2,Denmark;Copenhagen,10.11.2017,67,0.994,0.35
37081,1,2,Denmark;Copenhagen,30.4.2017,73,0.974,0.35
37082,7,3,Czech republic;Ostrava,12.9.2017,41,0.987,0.25
37083,4,6,Germany;Dresden,27.2.2017,42,0.969,0.25
37084,5,6,Germany;Dresden,5.3.2017,41,0.962,0.25
37085,7,5,Germany;Berlin,29.1.2017,50,0.969,0.35
37086,9,6,Germany;Dresden,13.8.2017,115,0.982,0.5
37087,2,5,Germany;Berlin,21.4.2017,67,0.976,0.35
37088,4,6,Germany;Dresden,13.12.2017,37,0.998,0.25
37089,8,5,Germany;Berlin,1.6.2017,27,0.974,0.25
37090,7,1,Czech republic;Prague,20.3.2017,72,0.968,0.35
37091,3,5,Germany;Berlin,22.6.2017,36,0.98,0.25
37092,4,2,Denmark;Copenhagen,26.8.2017,72,0.984,0.35
37093,3,1,Czech republic;Prague,24.11.2017,36,0.996,0.25
37094,1,3,Czech republic;Brno,28.4.2017,200,0.973,0.6
37095,11,6,Germany;Dresden,13.10.2017,87,0.991,0.4
37096,8,6,Germany;Dresden,4.5.2017,196,0.973,0.6
37097,7,2,Denmark;Copenhagen,11.10.2017,40,0.99,0.25
37098,9,3,Czech republic;Ostrava,10.1.2017,34,0.962,0.25
37099,8,6,Germany;Dresden,28.8.2017,25,0.984,0.25
37100,9,2,Denmark;Copenhagen,27.7.2017,67,0.982,0.35
37101,6,2,Denmark;Copenhagen,1.12.2017,197,0.995,0.6
37102,5,5,Germany;Berlin,9.8.2017,95,0.984,0.4
37103,10,6,Germany;Dresden,11.10.2017,39,0.99,0.25
37104,3,1,Czech republic;Prague,29.3.2017,68,0.97,0.35
37105,9,4,Germany;Frankfurt,26.2.2017,94,0.962,0.4
37106,1,4,Germany;Frankfurt,6.1.2017,71,0.966,0.35
37107,10,5,Germany;Berlin,11.8.2017,26,0.986,0.25
37108,6,3,Czech republic;Brno,1.8.2017,50,0.984,0.35
37109,1,3,Czech republic;Brno,19.8.2017,30,0.985,0.25
37110,8,2,Denmark;Copenhagen,12.5.2017,45,0.972,0.25
37111,9,4,Germany;Frankfurt,28.10.2017,27,0.992,0.25
37112,1,3,Czech republic;Brno,11.6.2017,131,0.979,0.5
37113,7,6,Germany;Dresden,14.8.2017,26,0.985,0.25
37114,7,7,Germany;Frankfurt,23.4.2017,46,0.973,0.25
37115,2,3,Czech republic;Brno,19.8.2017,32,0.985,0.25
37116,4,4,Germany;Frankfurt,2.3.2017,81,0.968,0.4
37117,4,4,Germany;Frankfurt,28.1.2017,101,0.967,0.5
37118,7,4,Germany;Frankfurt,30.5.2017,41,0.975,0.25
37119,1,1,Czech republic;Prague,19.2.2017,75,0.968,0.4
37120,7,4,Germany;Frankfurt,29.8.2017,55,0.988,0.35
37121,11,5,Germany;Berlin,3.8.2017,28,0.984,0.25
37122,4,1,Czech republic;Prague,16.7.2017,88,0.982,0.4
37123,10,3,Czech republic;Ostrava,11.4.2017,94,0.968,0.4
37124,3,6,Germany;Dresden,8.10.2017,82,0.991,0.4
37125,6,4,Germany;Frankfurt,19.3.2017,62,0.97,0.35
37126,1,3,Czech republic;Brno,20.2.2017,44,0.971,0.25
37127,5,7,Germany;Frankfurt,13.3.2017,146,0.972,0.5
37128,6,2,Denmark;Copenhagen,21.12.2017,93,0.998,0.4
37129,1,7,Germany;Frankfurt,4.8.2017,79,0.983,0.4
37130,7,1,Czech republic;Prague,10.8.2017,30,0.986,0.25
37131,10,7,Germany;Frankfurt,25.8.2017,47,0.985,0.25
37132,7,4,Germany;Frankfurt,17.8.2017,97,0.984,0.4
37133,9,6,Germany;Dresden,11.3.2017,69,0.968,0.35
37134,8,7,Germany;Frankfurt,26.1.2017,70,0.967,0.35
37135,5,4,Germany;Frankfurt,27.12.2017,118,0.999,0.5
37136,4,5,Germany;Berlin,23.3.2017,27,0.964,0.25
37137,11,7,Germany;Frankfurt,16.9.2017,31,0.989,0.25
37138,1,7,Germany;Frankfurt,22.6.2017,49,0.98,0.25
37139,11,1,Czech republic;Prague,6.9.2017,50,0.988,0.35
37140,10,5,Germany;Berlin,12.10.2017,32,0.991,0.25
37141,7,2,Denmark;Copenhagen,6.2.2017,37,0.961,0.25
37142,8,5,Germany;Berlin,12.7.2017,22,0.979,0.2
37143,4,2,Denmark;Copenhagen,22.4.2017,70,0.976,0.35
37144,1,2,Denmark;Copenhagen,17.12.2017,69,0.998,0.35
37145,6,4,Germany;Frankfurt,10.11.2017,29,0.994,0.25
37146,1,3,Czech republic;Brno,10.12.2017,83,0.997,0.4
37147,1,5,Germany;Berlin,19.8.2017,43,0.985,0.25
37148,4,2,Denmark;Copenhagen,22.2.2017,26,0.96,0.25
37149,9,2,Denmark;Copenhagen,30.10.2017,26,0.992,0.25
37150,10,1,Czech republic;Prague,5.3.2017,171,0.962,0.55
37151,4,2,Denmark;Copenhagen,10.8.2017,97,0.986,0.4
37152,4,3,Czech republic;Brno,30.4.2017,46,0.974,0.25
37153,4,5,Germany;Berlin,9.11.2017,60,0.994,0.35
37154,3,1,Czech republic;Prague,6.7.2017,78,0.98,0.4
37155,1,3,Czech republic;Brno,25.5.2017,40,0.977,0.25
37156,7,6,Germany;Dresden,5.9.2017,102,0.988,0.5
37157,8,6,Germany;Dresden,8.10.2017,25,0.991,0.25
37158,4,4,Germany;Frankfurt,26.7.2017,81,0.98,0.4
37159,9,1,Czech republic;Prague,13.3.2017,69,0.972,0.35
37160,3,7,Germany;Frankfurt,6.4.2017,58,0.969,0.35
37161,1,1,Czech republic;Prague,23.4.2017,26,0.973,0.25
37162,2,5,Germany;Berlin,12.12.2017,39,0.998,0.25
37163,6,2,Denmark;Copenhagen,12.7.2017,26,0.979,0.25
37164,1,5,Germany;Berlin,15.3.2017,88,0.972,0.4
37165,11,3,Czech republic;Ostrava,20.2.2017,48,0.971,0.25
37166,2,2,Denmark;Copenhagen,2.9.2017,133,0.986,0.5
37167,4,4,Germany;Frankfurt,17.1.2017,187,0.966,0.6
37168,10,7,Germany;Frankfurt,9.2.2017,45,0.96,0.25
37169,7,4,Germany;Frankfurt,1.12.2017,32,0.995,0.25
37170,7,7,Germany;Frankfurt,2.7.2017,45,0.982,0.25
37171,4,5,Germany;Berlin,1.4.2017,50,0.971,0.35
37172,3,5,Germany;Berlin,2.9.2017,76,0.986,0.4
37173,3,4,Germany;Frankfurt,17.6.2017,106,0.981,0.5
37174,9,3,Czech republic;Ostrava,18.6.2017,50,0.98,0.35
37175,2,3,Czech republic;Brno,21.1.2017,142,0.964,0.5
37176,2,7,Germany;Frankfurt,3.3.2017,88,0.972,0.4
37177,1,2,Denmark;Copenhagen,29.12.2017,80,0.999,0.4
37178,5,3,Czech republic;Brno,11.10.2017,29,0.99,0.25
37179,7,6,Germany;Dresden,22.1.2017,61,0.967,0.35
37180,8,6,Germany;Dresden,31.12.2017,30,0.999,0.25
37181,4,4,Germany;Frankfurt,3.2.2017,49,0.963,0.25
37182,11,2,Denmark;Copenhagen,7.9.2017,54,0.986,0.35
37183,6,1,Czech republic;Prague,11.10.2017,75,0.99,0.4
37184,7,4,Germany;Frankfurt,16.8.2017,195,0.986,0.6
37185,9,3,Czech republic;Ostrava,26.11.2017,79,0.996,0.4
37186,3,5,Germany;Berlin,18.5.2017,176,0.977,0.6
37187,5,1,Czech republic;Prague,3.12.2017,36,0.997,0.25
37188,1,7,Germany;Frankfurt,8.10.2017,20,0.991,0.2
37189,8,4,Germany;Frankfurt,5.12.2017,134,0.997,0.5
37190,2,6,Germany;Dresden,29.8.2017,58,0.988,0.35
37191,5,5,Germany;Berlin,21.4.2017,84,0.976,0.4
37192,2,6,Germany;Dresden,1.1.2017,34,0.954,0.25
37193,9,6,Germany;Dresden,29.1.2017,117,0.969,0.5
37194,8,2,Denmark;Copenhagen,14.1.2017,77,0.955,0.4
37195,11,2,Denmark;Copenhagen,2.1.2017,25,0.96,0.25
37196,11,5,Germany;Berlin,2.3.2017,64,0.968,0.35
37197,6,3,Czech republic;Brno,28.5.2017,75,0.972,0.4
37198,3,2,Denmark;Copenhagen,8.8.2017,64,0.984,0.35
37199,11,6,Germany;Dresden,10.1.2017,198,0.962,0.6
37200,5,7,Germany;Frankfurt,13.6.2017,27,0.976,0.25
37201,6,2,Denmark;Copenhagen,1.7.2017,78,0.978,0.4
37202,11,7,Germany;Frankfurt,11.3.2017,64,0.968,0.35
37203,4,3,Czech republic;Brno,7.4.2017,96,0.971,0.4
37204,8,4,Germany;Frankfurt,17.8.2017,16,0.984,0.05
37205,5,4,Germany;Frankfurt,30.8.2017,82,0.987,0.4
37206,1,5,Germany;Berlin,26.4.2017,38,0.972,0.25
37207,9,7,Germany;Frankfurt,9.10.2017,50,0.992,0.35
37208,1,7,Germany;Frankfurt,25.3.2017,150,0.966,0.55
37209,10,2,Denmark;Copenhagen,30.10.2017,35,0.992,0.25
37210,9,2,Denmark;Copenhagen,8.12.2017,192,0.997,0.6
37211,5,5,Germany;Berlin,18.6.2017,48,0.98,0.25
37212,8,6,Germany;Dresden,26.9.2017,29,0.989,0.25
37213,6,6,Germany;Dresden,11.3.2017,47,0.968,0.25
37214,11,4,Germany;Frankfurt,27.10.2017,85,0.991,0.4
37215,9,6,Germany;Dresden,14.1.2017,96,0.955,0.4
37216,7,3,Czech republic;Ostrava,6.4.2017,64,0.969,0.35
37217,10,2,Denmark;Copenhagen,26.10.2017,80,0.993,0.4
37218,9,1,Czech republic;Prague,18.7.2017,91,0.98,0.4
37219,3,6,Germany;Dresden,4.12.2017,27,0.997,0.25
37220,4,7,Germany;Frankfurt,14.12.2017,57,0.998,0.35
37221,5,1,Czech republic;Prague,30.7.2017,35,0.984,0.25
37222,11,6,Germany;Dresden,27.6.2017,38,0.98,0.25
37223,3,5,Germany;Berlin,8.11.2017,62,0.993,0.35
37224,3,1,Czech republic;Prague,11.8.2017,46,0.986,0.25
37225,4,6,Germany;Dresden,16.1.2017,70,0.957,0.35
37226,5,7,Germany;Frankfurt,29.11.2017,33,0.996,0.25
37227,11,7,Germany;Frankfurt,30.3.2017,65,0.97,0.35
37228,2,7,Germany;Frankfurt,22.3.2017,84,0.971,0.4
37229,4,4,Germany;Frankfurt,12.7.2017,41,0.979,0.25
37230,6,1,Czech republic;Prague,3.12.2017,57,0.997,0.35
37231,7,1,Czech republic;Prague,26.10.2017,98,0.993,0.4
37232,6,5,Germany;Berlin,8.9.2017,26,0.988,0.25
37233,10,6,Germany;Dresden,13.6.2017,25,0.976,0.25
37234,5,2,Denmark;Copenhagen,7.8.2017,43,0.986,0.25
37235,3,3,Czech republic;Brno,3.3.2017,7,0.972,0
37236,5,3,Czech republic;Brno,30.6.2017,30,0.978,0.25
37237,1,4,Germany;Frankfurt,6.5.2017,45,0.976,0.25
37238,3,3,Czech republic;Brno,15.10.2017,178,0.992,0.6
37239,5,5,Germany;Berlin,20.3.2017,53,0.968,0.35
37240,11,4,Germany;Frankfurt,12.7.2017,42,0.979,0.25
37241,6,6,Germany;Dresden,27.10.2017,45,0.991,0.25
37242,4,3,Czech republic;Brno,15.8.2017,41,0.984,0.25
37243,1,7,Germany;Frankfurt,21.10.2017,67,0.991,0.35
37244,7,5,Germany;Berlin,17.9.2017,32,0.987,0.25
37245,5,2,Denmark;Copenhagen,5.10.2017,31,0.989,0.25
37246,8,2,Denmark;Copenhagen,23.2.2017,36,0.965,0.25
37247,10,3,Czech republic;Ostrava,5.12.2017,84,0.997,0.4
37248,6,6,Germany;Dresden,10.6.2017,46,0.981,0.25
37249,9,3,Czech republic;Ostrava,18.1.2017,74,0.966,0.35
37250,8,4,Germany;Frankfurt,6.6.2017,90,0.975,0.4
37251,10,3,Czech republic;Ostrava,15.7.2017,48,0.982,0.25
37252,8,1,Czech republic;Prague,27.2.2017,169,0.969,0.55
37253,9,1,Czech republic;Prague,13.3.2017,161,0.972,0.55
37254,11,3,Czech republic;Ostrava,22.8.2017,31,0.984,0.25
37255,11,6,Germany;Dresden,21.3.2017,31,0.973,0.25
37256,1,5,Germany;Berlin,8.2.2017,39,0.96,0.25
37257,6,5,Germany;Berlin,24.2.2017,38,0.971,0.25
37258,7,2,Denmark;Copenhagen,4.1.2017,191,0.955,0.6
37259,5,6,Germany;Dresden,7.12.2017,82,0.997,0.4
37260,2,3,Czech republic;Brno,9.4.2017,72,0.974,0.35
37261,6,7,Germany;Frankfurt,26.8.2017,34,0.984,0.25
37262,3,7,Germany;Frankfurt,21.10.2017,38,0.991,0.25
37263,11,3,Czech republic;Ostrava,15.9.2017,103,0.989,0.5
37264,2,5,Germany;Berlin,13.10.2017,41,0.991,0.25
37265,9,5,Germany;Berlin,23.3.2017,53,0.964,0.35
37266,2,1,Czech republic;Prague,4.8.2017,105,0.983,0.5
37267,8,7,Germany;Frankfurt,31.5.2017,62,0.974,0.35
37268,4,7,Germany;Frankfurt,3.5.2017,187,0.972,0.6
37269,4,1,Czech republic;Prague,18.1.2017,48,0.966,0.25
37270,11,3,Czech republic;Ostrava,17.11.2017,90,0.995,0.4
37271,7,7,Germany;Frankfurt,7.12.2017,116,0.997,0.5
37272,2,2,Denmark;Copenhagen,6.6.2017,60,0.975,0.35
37273,3,1,Czech republic;Prague,13.1.2017,82,0.955,0.4
37274,9,1,Czech republic;Prague,9.7.2017,69,0.981,0.35
37275,8,3,Czech republic;Ostrava,23.7.2017,31,0.983,0.25
37276,8,5,Germany;Berlin,22.5.2017,163,0.975,0.55
37277,3,5,Germany;Berlin,24.6.2017,84,0.979,0.4
37278,11,7,Germany;Frankfurt,7.1.2017,124,0.961,0.5
37279,3,1,Czech republic;Prague,13.4.2017,45,0.973,0.25
37280,3,7,Germany;Frankfurt,19.3.2017,41,0.97,0.25
37281,5,6,Germany;Dresden,5.11.2017,41,0.994,0.25
37282,6,1,Czech republic;Prague,17.9.2017,162,0.987,0.55
37283,11,7,Germany;Frankfurt,7.11.2017,73,0.993,0.35
37284,8,3,Czech republic;Ostrava,20.6.2017,63,0.977,0.35
37285,5,7,Germany;Frankfurt,11.8.2017,136,0.986,0.5
37286,5,4,Germany;Frankfurt,3.2.2017,36,0.963,0.25
37287,3,5,Germany;Berlin,22.6.2017,147,0.98,0.5
37288,11,6,Germany;Dresden,22.9.2017,33,0.989,0.25
37289,1,2,Denmark;Copenhagen,14.4.2017,57,0.972,0.35
37290,6,4,Germany;Frankfurt,8.1.2017,81,0.963,0.4
37291,4,1,Czech republic;Prague,14.6.2017,177,0.98,0.6
37292,11,6,Germany;Dresden,22.5.2017,32,0.975,0.25
37293,4,3,Czech republic;Brno,11.4.2017,172,0.968,0.55
37294,1,4,Germany;Frankfurt,20.6.2017,72,0.977,0.35
37295,5,5,Germany;Berlin,9.1.2017,89,0.956,0.4
37296,5,3,Czech republic;Brno,20.6.2017,178,0.977,0.6
37297,5,4,Germany;Frankfurt,4.7.2017,152,0.98,0.55
37298,7,7,Germany;Frankfurt,7.1.2017,75,0.961,0.4
37299,7,2,Denmark;Copenhagen,6.9.2017,37,0.988,0.25
37300,1,2,Denmark;Copenhagen,14.10.2017,86,0.991,0.4
37301,3,7,Germany;Frankfurt,5.5.2017,43,0.974,0.25
37302,9,4,Germany;Frankfurt,5.9.2017,58,0.988,0.35
37303,3,1,Czech republic;Prague,7.4.2017,177,0.971,0.6
37304,4,1,Czech republic;Prague,28.4.2017,187,0.973,0.6
37305,2,7,Germany;Frankfurt,24.5.2017,74,0.973,0.35
37306,7,1,Czech republic;Prague,1.5.2017,47,0.971,0.25
37307,11,5,Germany;Berlin,7.2.2017,109,0.963,0.5
37308,8,7,Germany;Frankfurt,4.12.2017,43,0.997,0.25
37309,6,4,Germany;Frankfurt,17.9.2017,25,0.987,0.25
37310,9,5,Germany;Berlin,27.4.2017,50,0.976,0.35
37311,2,2,Denmark;Copenhagen,28.10.2017,27,0.992,0.25
37312,11,2,Denmark;Copenhagen,25.8.2017,134,0.985,0.5
37313,6,2,Denmark;Copenhagen,13.4.2017,38,0.973,0.25
37314,11,4,Germany;Frankfurt,4.7.2017,54,0.98,0.35
37315,6,1,Czech republic;Prague,9.4.2017,146,0.974,0.5
37316,11,7,Germany;Frankfurt,27.3.2017,1,0.97,0
37317,3,1,Czech republic;Prague,11.10.2017,73,0.99,0.35
37318,10,4,Germany;Frankfurt,10.2.2017,68,0.962,0.35
37319,1,5,Germany;Berlin,26.5.2017,47,0.979,0.25
37320,10,4,Germany;Frankfurt,4.6.2017,30,0.976,0.25
37321,6,7,Germany;Frankfurt,10.8.2017,64,0.986,0.35
37322,9,6,Germany;Dresden,4.3.2017,49,0.964,0.25
37323,2,3,Czech republic;Brno,6.6.2017,93,0.975,0.4
37324,8,2,Denmark;Copenhagen,2.3.2017,30,0.968,0.25
37325,7,7,Germany;Frankfurt,2.12.2017,190,0.997,0.6
37326,4,1,Czech republic;Prague,18.2.2017,5,0.969,0
37327,4,3,Czech republic;Brno,30.8.2017,50,0.987,0.35
37328,1,7,Germany;Frankfurt,5.9.2017,77,0.988,0.4
37329,8,5,Germany;Berlin,18.1.2017,80,0.966,0.4
37330,4,3,Czech republic;Brno,6.3.2017,104,0.963,0.5
37331,9,6,Germany;Dresden,15.6.2017,43,0.978,0.25
37332,5,6,Germany;Dresden,1.10.2017,87,0.99,0.4
37333,11,4,Germany;Frankfurt,7.5.2017,66,0.977,0.35
37334,10,7,Germany;Frankfurt,22.8.2017,42,0.984,0.25
37335,11,7,Germany;Frankfurt,21.11.2017,97,0.995,0.4
37336,2,1,Czech republic;Prague,28.8.2017,31,0.984,0.25
37337,4,4,Germany;Frankfurt,11.8.2017,67,0.986,0.35
37338,6,5,Germany;Berlin,26.10.2017,44,0.993,0.25
37339,4,7,Germany;Frankfurt,27.9.2017,50,0.989,0.35
37340,7,6,Germany;Dresden,11.1.2017,42,0.967,0.25
37341,7,7,Germany;Frankfurt,7.2.2017,49,0.963,0.25
37342,9,5,Germany;Berlin,11.4.2017,23,0.968,0.2
37343,4,6,Germany;Dresden,7.10.2017,193,0.991,0.6
37344,2,7,Germany;Frankfurt,18.7.2017,2,0.98,0
37345,8,6,Germany;Dresden,7.11.2017,54,0.993,0.35
