fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
12249,3,5,Germany;Berlin,2.1.2015,144,0.966,0.55
12387,10,7,Germany;Frankfurt,6.1.2015,65,0.97,0.15
12388,4,5,Germany;Berlin,6.1.2015,61,0.97,0.15
12389,5,3,Czech republic;Brno,6.1.2015,55,0.97,0.15
12390,7,5,Germany;Berlin,6.1.2015,53,0.97,0.15
12391,3,5,Germany;Berlin,6.1.2015,53,0.97,0.15
12392,6,5,Germany;Berlin,6.1.2015,52,0.97,0.15
12393,6,7,Germany;Frankfurt,6.1.2015,48,0.97,0.15
12394,6,6,Germany;Dresden,6.1.2015,45,0.97,0.15
12395,9,7,Germany;Frankfurt,6.1.2015,43,0.97,0.15
12396,2,5,Germany;Berlin,6.1.2015,39,0.97,0.15
12397,7,5,Germany;Berlin,6.1.2015,36,0.97,0.15
12398,5,4,Germany;Frankfurt,6.1.2015,34,0.97,0.15
12399,1,3,Czech republic;Brno,6.1.2015,32,0.97,0.15
12400,11,7,Germany;Frankfurt,6.1.2015,31,0.97,0.15
12401,1,7,Germany;Frankfurt,6.1.2015,29,0.97,0.15
12402,2,6,Germany;Dresden,6.1.2015,29,0.97,0.15
12403,10,2,Denmark;Copenhagen,6.1.2015,22,0.97,0.01
12404,3,5,Germany;Berlin,6.1.2015,20,0.97,0.01
12405,4,6,Germany;Dresden,6.1.2015,20,0.97,0.01
12406,3,3,Czech republic;Brno,6.1.2015,15,0.97,0.01
12407,9,6,Germany;Dresden,6.1.2015,7,0.97,0
12408,5,7,Germany;Frankfurt,6.1.2015,5,0.97,0
12409,7,4,Germany;Frankfurt,6.1.2015,4,0.97,0
12410,6,6,Germany;Dresden,6.1.2015,2,0.97,0
12411,11,5,Germany;Berlin,7.1.2015,150,0.966,0.55
12412,5,3,Czech republic;Brno,7.1.2015,149,0.966,0.55
12413,7,7,Germany;Frankfurt,7.1.2015,148,0.966,0.55
12414,5,1,Czech republic;Prague,7.1.2015,147,0.966,0.55
12415,6,2,Denmark;Copenhagen,7.1.2015,142,0.966,0.55
12416,10,6,Germany;Dresden,7.1.2015,140,0.966,0.55
12417,8,7,Germany;Frankfurt,7.1.2015,138,0.966,0.55
12418,2,2,Denmark;Copenhagen,7.1.2015,132,0.966,0.55
12419,1,6,Germany;Dresden,7.1.2015,129,0.966,0.55
12420,8,3,Czech republic;Ostrava,7.1.2015,127,0.966,0.55
12421,6,5,Germany;Berlin,7.1.2015,127,0.966,0.55
12422,10,7,Germany;Frankfurt,7.1.2015,125,0.966,0.55
12423,7,5,Germany;Berlin,7.1.2015,122,0.966,0.55
12424,11,6,Germany;Dresden,7.1.2015,115,0.966,0.55
12425,9,7,Germany;Frankfurt,7.1.2015,110,0.966,0.55
12426,5,7,Germany;Frankfurt,7.1.2015,105,0.966,0.55
12427,4,7,Germany;Frankfurt,7.1.2015,104,0.966,0.55
12428,5,5,Germany;Berlin,7.1.2015,104,0.966,0.55
12429,10,4,Germany;Frankfurt,7.1.2015,103,0.966,0.55
12430,5,5,Germany;Berlin,7.1.2015,97,0.966,0.4
12431,6,5,Germany;Berlin,7.1.2015,95,0.966,0.4
12432,5,5,Germany;Berlin,7.1.2015,91,0.966,0.4
12433,7,1,Czech republic;Prague,7.1.2015,87,0.966,0.4
12434,4,7,Germany;Frankfurt,7.1.2015,86,0.966,0.4
12435,3,7,Germany;Frankfurt,7.1.2015,85,0.966,0.4
12436,7,4,Germany;Frankfurt,7.1.2015,83,0.966,0.4
12437,4,4,Germany;Frankfurt,7.1.2015,81,0.966,0.4
12438,8,5,Germany;Berlin,7.1.2015,79,0.966,0.4
12439,1,7,Germany;Frankfurt,7.1.2015,79,0.966,0.4
12440,7,5,Germany;Berlin,7.1.2015,77,0.966,0.4
12441,2,4,Germany;Frankfurt,7.1.2015,74,0.966,0.15
12442,5,7,Germany;Frankfurt,7.1.2015,73,0.966,0.15
12443,2,7,Germany;Frankfurt,7.1.2015,72,0.966,0.15
12444,9,5,Germany;Berlin,7.1.2015,72,0.966,0.15
12445,4,6,Germany;Dresden,7.1.2015,62,0.966,0.15
12446,9,5,Germany;Berlin,7.1.2015,59,0.966,0.15
12447,5,4,Germany;Frankfurt,7.1.2015,56,0.966,0.15
12448,1,7,Germany;Frankfurt,7.1.2015,56,0.966,0.15
12449,7,5,Germany;Berlin,7.1.2015,54,0.966,0.15
12450,9,5,Germany;Berlin,7.1.2015,50,0.966,0.15
12451,2,5,Germany;Berlin,7.1.2015,49,0.966,0.15
12452,8,5,Germany;Berlin,7.1.2015,47,0.966,0.15
12453,9,1,Czech republic;Prague,7.1.2015,44,0.966,0.15
12454,7,3,Czech republic;Ostrava,7.1.2015,40,0.966,0.15
12455,6,1,Czech republic;Prague,7.1.2015,34,0.966,0.15
12456,3,7,Germany;Frankfurt,7.1.2015,30,0.966,0.15
12457,6,7,Germany;Frankfurt,7.1.2015,26,0.966,0.15
12458,9,2,Denmark;Copenhagen,7.1.2015,25,0.966,0.01
12459,4,6,Germany;Dresden,7.1.2015,23,0.966,0.01
12460,9,7,Germany;Frankfurt,7.1.2015,22,0.966,0.01
12461,5,7,Germany;Frankfurt,7.1.2015,17,0.966,0.01
12462,1,5,Germany;Berlin,7.1.2015,9,0.966,0
12463,5,5,Germany;Berlin,7.1.2015,9,0.966,0
12464,3,7,Germany;Frankfurt,7.1.2015,4,0.966,0
12465,10,7,Germany;Frankfurt,7.1.2015,4,0.966,0
12466,6,5,Germany;Berlin,7.1.2015,1,0.966,0
12467,2,5,Germany;Berlin,7.1.2015,1,0.966,0
12468,2,5,Germany;Berlin,8.1.2015,147,0.967,0.55
12469,10,5,Germany;Berlin,8.1.2015,146,0.967,0.55
12470,10,6,Germany;Dresden,8.1.2015,144,0.967,0.55
12471,8,7,Germany;Frankfurt,8.1.2015,132,0.967,0.55
12472,5,7,Germany;Frankfurt,8.1.2015,131,0.967,0.55
12473,8,5,Germany;Berlin,8.1.2015,124,0.967,0.55
12474,6,7,Germany;Frankfurt,8.1.2015,124,0.967,0.55
12475,11,7,Germany;Frankfurt,8.1.2015,120,0.967,0.55
12476,7,1,Czech republic;Prague,8.1.2015,117,0.967,0.55
12477,7,5,Germany;Berlin,8.1.2015,115,0.967,0.55
12478,6,4,Germany;Frankfurt,8.1.2015,114,0.967,0.55
12479,10,2,Denmark;Copenhagen,8.1.2015,113,0.967,0.55
12480,7,3,Czech republic;Ostrava,8.1.2015,111,0.967,0.55
12481,9,4,Germany;Frankfurt,8.1.2015,111,0.967,0.55
12482,1,1,Czech republic;Prague,8.1.2015,106,0.967,0.55
12483,5,7,Germany;Frankfurt,8.1.2015,98,0.967,0.4
12484,3,5,Germany;Berlin,8.1.2015,95,0.967,0.4
12485,8,5,Germany;Berlin,8.1.2015,92,0.967,0.4
12486,11,7,Germany;Frankfurt,8.1.2015,92,0.967,0.4
12487,1,7,Germany;Frankfurt,8.1.2015,90,0.967,0.4
12488,4,7,Germany;Frankfurt,8.1.2015,88,0.967,0.4
12489,9,2,Denmark;Copenhagen,8.1.2015,88,0.967,0.4
12490,6,7,Germany;Frankfurt,8.1.2015,87,0.967,0.4
12491,4,5,Germany;Berlin,8.1.2015,85,0.967,0.4
12492,1,2,Denmark;Copenhagen,8.1.2015,82,0.967,0.4
12493,8,5,Germany;Berlin,8.1.2015,80,0.967,0.4
12494,6,5,Germany;Berlin,8.1.2015,79,0.967,0.4
12495,2,5,Germany;Berlin,8.1.2015,77,0.967,0.4
12496,11,3,Czech republic;Ostrava,8.1.2015,72,0.967,0.15
12497,4,3,Czech republic;Brno,8.1.2015,62,0.967,0.15
12498,2,7,Germany;Frankfurt,8.1.2015,58,0.967,0.15
12499,6,6,Germany;Dresden,8.1.2015,57,0.967,0.15
12500,3,1,Czech republic;Prague,8.1.2015,57,0.967,0.15
12501,10,3,Czech republic;Ostrava,8.1.2015,54,0.967,0.15
12502,3,7,Germany;Frankfurt,8.1.2015,53,0.967,0.15
12503,6,5,Germany;Berlin,8.1.2015,53,0.967,0.15
12504,2,1,Czech republic;Prague,8.1.2015,52,0.967,0.15
12505,6,6,Germany;Dresden,8.1.2015,46,0.967,0.15
12506,8,5,Germany;Berlin,8.1.2015,38,0.967,0.15
12507,11,2,Denmark;Copenhagen,8.1.2015,36,0.967,0.15
12508,6,5,Germany;Berlin,8.1.2015,34,0.967,0.15
12509,11,5,Germany;Berlin,8.1.2015,25,0.967,0.01
12510,5,3,Czech republic;Brno,8.1.2015,22,0.967,0.01
12511,6,5,Germany;Berlin,8.1.2015,12,0.967,0.01
12512,1,1,Czech republic;Prague,8.1.2015,3,0.967,0
12513,8,6,Germany;Dresden,8.1.2015,2,0.967,0
12514,2,5,Germany;Berlin,8.1.2015,1,0.967,0
12515,11,1,Czech republic;Prague,9.1.2015,144,0.96,0.55
12516,3,7,Germany;Frankfurt,9.1.2015,143,0.96,0.55
12517,6,5,Germany;Berlin,9.1.2015,142,0.96,0.55
12518,7,6,Germany;Dresden,9.1.2015,137,0.96,0.55
12519,6,5,Germany;Berlin,9.1.2015,136,0.96,0.55
12520,1,3,Czech republic;Brno,9.1.2015,135,0.96,0.55
12521,8,7,Germany;Frankfurt,9.1.2015,135,0.96,0.55
12522,10,1,Czech republic;Prague,9.1.2015,134,0.96,0.55
12523,11,4,Germany;Frankfurt,9.1.2015,129,0.96,0.55
12524,11,7,Germany;Frankfurt,9.1.2015,126,0.96,0.55
12525,3,1,Czech republic;Prague,9.1.2015,122,0.96,0.55
12526,7,5,Germany;Berlin,9.1.2015,121,0.96,0.55
12527,1,5,Germany;Berlin,9.1.2015,120,0.96,0.55
12528,5,1,Czech republic;Prague,9.1.2015,120,0.96,0.55
12529,8,5,Germany;Berlin,9.1.2015,119,0.96,0.55
12530,7,2,Denmark;Copenhagen,9.1.2015,119,0.96,0.55
12531,8,7,Germany;Frankfurt,9.1.2015,118,0.96,0.55
12532,11,5,Germany;Berlin,9.1.2015,111,0.96,0.55
12533,7,5,Germany;Berlin,9.1.2015,106,0.96,0.55
12534,2,2,Denmark;Copenhagen,9.1.2015,105,0.96,0.55
12535,6,7,Germany;Frankfurt,9.1.2015,100,0.96,0.55
12536,4,2,Denmark;Copenhagen,9.1.2015,98,0.96,0.4
12537,9,7,Germany;Frankfurt,9.1.2015,97,0.96,0.4
12538,4,5,Germany;Berlin,9.1.2015,90,0.96,0.4
12539,6,7,Germany;Frankfurt,9.1.2015,82,0.96,0.4
12540,8,5,Germany;Berlin,9.1.2015,73,0.96,0.15
12541,4,5,Germany;Berlin,9.1.2015,61,0.96,0.15
12542,7,1,Czech republic;Prague,9.1.2015,60,0.96,0.15
12543,11,5,Germany;Berlin,9.1.2015,50,0.96,0.15
12544,5,7,Germany;Frankfurt,9.1.2015,48,0.96,0.15
12545,4,4,Germany;Frankfurt,9.1.2015,44,0.96,0.15
12546,9,2,Denmark;Copenhagen,9.1.2015,40,0.96,0.15
12547,8,3,Czech republic;Ostrava,9.1.2015,35,0.96,0.15
12548,9,2,Denmark;Copenhagen,9.1.2015,27,0.96,0.15
12549,9,5,Germany;Berlin,9.1.2015,24,0.96,0.01
12550,4,5,Germany;Berlin,9.1.2015,21,0.96,0.01
12551,1,4,Germany;Frankfurt,9.1.2015,14,0.96,0.01
12552,11,5,Germany;Berlin,9.1.2015,3,0.96,0
12553,9,7,Germany;Frankfurt,9.1.2015,2,0.96,0
12554,11,4,Germany;Frankfurt,9.1.2015,2,0.96,0
12555,6,4,Germany;Frankfurt,9.1.2015,1,0.96,0
12556,5,5,Germany;Berlin,12.1.2015,150,0.972,0.55
12557,11,1,Czech republic;Prague,12.1.2015,150,0.972,0.55
12558,9,7,Germany;Frankfurt,12.1.2015,143,0.972,0.55
12559,9,5,Germany;Berlin,12.1.2015,140,0.972,0.55
12560,7,5,Germany;Berlin,12.1.2015,139,0.972,0.55
12561,3,2,Denmark;Copenhagen,12.1.2015,136,0.972,0.55
12562,9,5,Germany;Berlin,12.1.2015,124,0.972,0.55
12563,6,7,Germany;Frankfurt,12.1.2015,118,0.972,0.55
12564,1,7,Germany;Frankfurt,12.1.2015,115,0.972,0.55
12565,7,7,Germany;Frankfurt,12.1.2015,113,0.972,0.55
12566,8,6,Germany;Dresden,12.1.2015,105,0.972,0.55
12567,8,5,Germany;Berlin,12.1.2015,101,0.972,0.55
12568,5,5,Germany;Berlin,12.1.2015,99,0.972,0.4
12569,8,7,Germany;Frankfurt,12.1.2015,96,0.972,0.4
12570,2,5,Germany;Berlin,12.1.2015,93,0.972,0.4
12571,7,7,Germany;Frankfurt,12.1.2015,90,0.972,0.4
12572,11,2,Denmark;Copenhagen,12.1.2015,82,0.972,0.4
12573,5,5,Germany;Berlin,12.1.2015,82,0.972,0.4
12574,1,5,Germany;Berlin,12.1.2015,78,0.972,0.4
12575,1,4,Germany;Frankfurt,12.1.2015,75,0.972,0.15
12576,10,3,Czech republic;Ostrava,12.1.2015,75,0.972,0.15
12577,4,6,Germany;Dresden,12.1.2015,74,0.972,0.15
12578,5,7,Germany;Frankfurt,12.1.2015,68,0.972,0.15
12579,9,5,Germany;Berlin,12.1.2015,68,0.972,0.15
12580,11,2,Denmark;Copenhagen,12.1.2015,67,0.972,0.15
12581,1,5,Germany;Berlin,12.1.2015,63,0.972,0.15
12582,8,5,Germany;Berlin,12.1.2015,60,0.972,0.15
12583,3,7,Germany;Frankfurt,12.1.2015,57,0.972,0.15
12584,9,7,Germany;Frankfurt,12.1.2015,55,0.972,0.15
12585,6,7,Germany;Frankfurt,12.1.2015,49,0.972,0.15
12586,8,5,Germany;Berlin,12.1.2015,47,0.972,0.15
12587,8,5,Germany;Berlin,12.1.2015,46,0.972,0.15
12588,9,1,Czech republic;Prague,12.1.2015,38,0.972,0.15
12589,4,7,Germany;Frankfurt,12.1.2015,33,0.972,0.15
12590,11,3,Czech republic;Ostrava,12.1.2015,21,0.972,0.01
12591,5,6,Germany;Dresden,12.1.2015,17,0.972,0.01
12592,9,6,Germany;Dresden,12.1.2015,17,0.972,0.01
12593,8,7,Germany;Frankfurt,12.1.2015,13,0.972,0.01
12594,5,3,Czech republic;Brno,12.1.2015,13,0.972,0.01
12595,7,5,Germany;Berlin,13.1.2015,148,0.968,0.55
12596,8,7,Germany;Frankfurt,13.1.2015,144,0.968,0.55
12597,1,7,Germany;Frankfurt,13.1.2015,141,0.968,0.55
12598,9,3,Czech republic;Ostrava,13.1.2015,133,0.968,0.55
12599,5,1,Czech republic;Prague,13.1.2015,132,0.968,0.55
12600,1,6,Germany;Dresden,13.1.2015,132,0.968,0.55
12601,7,1,Czech republic;Prague,13.1.2015,131,0.968,0.55
12602,5,5,Germany;Berlin,13.1.2015,129,0.968,0.55
12603,11,5,Germany;Berlin,13.1.2015,125,0.968,0.55
12604,1,5,Germany;Berlin,13.1.2015,121,0.968,0.55
12605,9,5,Germany;Berlin,13.1.2015,113,0.968,0.55
12606,2,7,Germany;Frankfurt,13.1.2015,110,0.968,0.55
12607,6,2,Denmark;Copenhagen,13.1.2015,106,0.968,0.55
12608,11,2,Denmark;Copenhagen,13.1.2015,106,0.968,0.55
12609,6,5,Germany;Berlin,13.1.2015,105,0.968,0.55
12610,5,7,Germany;Frankfurt,13.1.2015,91,0.968,0.4
12611,7,3,Czech republic;Ostrava,13.1.2015,89,0.968,0.4
12612,4,5,Germany;Berlin,13.1.2015,87,0.968,0.4
12613,2,7,Germany;Frankfurt,13.1.2015,87,0.968,0.4
12614,8,5,Germany;Berlin,13.1.2015,86,0.968,0.4
12615,2,5,Germany;Berlin,13.1.2015,83,0.968,0.4
12616,7,2,Denmark;Copenhagen,13.1.2015,81,0.968,0.4
12617,4,6,Germany;Dresden,13.1.2015,78,0.968,0.4
12618,11,5,Germany;Berlin,13.1.2015,78,0.968,0.4
12619,10,1,Czech republic;Prague,13.1.2015,70,0.968,0.15
12620,4,6,Germany;Dresden,13.1.2015,68,0.968,0.15
12621,9,3,Czech republic;Ostrava,13.1.2015,65,0.968,0.15
12622,4,5,Germany;Berlin,13.1.2015,63,0.968,0.15
12623,5,1,Czech republic;Prague,13.1.2015,61,0.968,0.15
12624,8,5,Germany;Berlin,13.1.2015,61,0.968,0.15
12625,3,4,Germany;Frankfurt,13.1.2015,58,0.968,0.15
12626,2,1,Czech republic;Prague,13.1.2015,56,0.968,0.15
12627,8,7,Germany;Frankfurt,13.1.2015,55,0.968,0.15
12628,4,1,Czech republic;Prague,13.1.2015,55,0.968,0.15
12629,4,4,Germany;Frankfurt,13.1.2015,46,0.968,0.15
12630,9,1,Czech republic;Prague,13.1.2015,41,0.968,0.15
12631,2,7,Germany;Frankfurt,13.1.2015,37,0.968,0.15
12632,7,1,Czech republic;Prague,13.1.2015,25,0.968,0.01
12633,10,7,Germany;Frankfurt,13.1.2015,21,0.968,0.01
12634,9,4,Germany;Frankfurt,13.1.2015,19,0.968,0.01
12635,10,7,Germany;Frankfurt,13.1.2015,13,0.968,0.01
12636,10,5,Germany;Berlin,13.1.2015,12,0.968,0.01
12637,1,5,Germany;Berlin,13.1.2015,12,0.968,0.01
12638,3,7,Germany;Frankfurt,13.1.2015,6,0.968,0
12639,3,5,Germany;Berlin,13.1.2015,1,0.968,0
12640,4,4,Germany;Frankfurt,14.1.2015,149,0.971,0.55
12641,4,7,Germany;Frankfurt,14.1.2015,142,0.971,0.55
12642,1,1,Czech republic;Prague,14.1.2015,138,0.971,0.55
12643,10,5,Germany;Berlin,14.1.2015,138,0.971,0.55
12644,4,7,Germany;Frankfurt,14.1.2015,129,0.971,0.55
12645,7,7,Germany;Frankfurt,14.1.2015,125,0.971,0.55
12646,5,7,Germany;Frankfurt,14.1.2015,121,0.971,0.55
12647,10,5,Germany;Berlin,14.1.2015,108,0.971,0.55
12648,11,4,Germany;Frankfurt,14.1.2015,99,0.971,0.4
12649,1,7,Germany;Frankfurt,14.1.2015,99,0.971,0.4
12650,3,7,Germany;Frankfurt,14.1.2015,95,0.971,0.4
12651,3,2,Denmark;Copenhagen,14.1.2015,92,0.971,0.4
12652,6,3,Czech republic;Brno,14.1.2015,90,0.971,0.4
12653,9,7,Germany;Frankfurt,14.1.2015,87,0.971,0.4
12654,11,5,Germany;Berlin,14.1.2015,84,0.971,0.4
12655,8,7,Germany;Frankfurt,14.1.2015,82,0.971,0.4
